DJC_ID_DIM_SUJETO,DJC_ID_DIM_PERIODO_CUOTA,DJC_ROL,BI_CBA,BI_IVA,DJC_M_BASE_IMPONIBLE_CBA,DJC_M_IMPUESTO_DETERMINADO,DJC_M_PERCEPCIONES,DJC_M_PERCEPCIONES_ADUANERAS,DJC_M_RECAUDACIONES,DJC_M_RETENCIONES,DJC_M_SALDO_A_PAGAR_DDJJ,DJC_M_SALDO_FAVOR_CONTRIBUYENTE,DJC_M_TOTAL_INGRESOS_NO_GRAV,Delta_BI,I02_COMPRAS_NETAS_VENTAS_NETAS,DJA_COD_ACTIVIDAD_463111,DJA_COD_ACTIVIDAD_463112,DJA_COD_ACTIVIDAD_463121,DJA_COD_ACTIVIDAD_463129,DJA_COD_ACTIVIDAD_463140,DJA_COD_ACTIVIDAD_463151,DJA_COD_ACTIVIDAD_463153,DJA_COD_ACTIVIDAD_463154,DJA_COD_ACTIVIDAD_463159,DJA_COD_ACTIVIDAD_463160,DJA_COD_ACTIVIDAD_463170,DJA_COD_ACTIVIDAD_463180,DJA_COD_ACTIVIDAD_463191,DJA_COD_ACTIVIDAD_463199,DJA_COD_ACTIVIDAD_463211,DJA_COD_ACTIVIDAD_463219,DJA_COD_ACTIVIDAD_463220,DJA_COD_ACTIVIDAD_471110,DJA_COD_ACTIVIDAD_471120,DJA_COD_ACTIVIDAD_471130,DJA_COD_ACTIVIDAD_471191,DJA_COD_ACTIVIDAD_471900,DJA_COD_ACTIVIDAD_472111,DJA_COD_ACTIVIDAD_472112,DJA_COD_ACTIVIDAD_472120,DJA_COD_ACTIVIDAD_472130,DJA_COD_ACTIVIDAD_472140,DJA_COD_ACTIVIDAD_472150,DJA_COD_ACTIVIDAD_472160,DJA_COD_ACTIVIDAD_472171,DJA_COD_ACTIVIDAD_472172,DJA_COD_ACTIVIDAD_472190,DJA_COD_ACTIVIDAD_472200,DJA_COD_ACTIVIDAD_478010,DJA_TRATAMIENTO_CALCULADO_,DJA_TRATAMIENTO_CALCULADO_0,DJA_TRATAMIENTO_CALCULADO_1,DJA_TRATAMIENTO_CALCULADO_2,DJA_TRATAMIENTO_CALCULADO_3,DJA_TRATAMIENTO_CALCULADO_4,DJA_TRATAMIENTO_CALCULADO_5,DJA_TRATAMIENTO_CALCULADO_6,DJA_TRATAMIENTO_CALCULADO_8,DJA_TRATAMIENTO_DISQUETTE_,DJA_TRATAMIENTO_DISQUETTE_1,DJA_TRATAMIENTO_DISQUETTE_2,DJA_TRATAMIENTO_DISQUETTE_3,DJA_TRATAMIENTO_DISQUETTE_4,DJA_TRATAMIENTO_DISQUETTE_5,DJA_TRATAMIENTO_DISQUETTE_6,DJA_TRATAMIENTO_DISQUETTE_8,5_Cl,5_Cl_Dis,10_Cl,10_Cl_Dis,20_Cl,20_Cl_Dis
10046857,2021011012,IB,334379.67,-0.247448668,-0.247687757,-0.219012484,-0.260959327,-0.006457551,-0.169027194,-0.250705808,0.191925421,-0.172454953,-0.088516451,0.010453148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.099493027,6,1.065168381,16,0.881295681
10206286,2020006012,IB,80319.29,-0.343910724,-0.344713062,-0.279458851,-0.260959327,-0.006457551,-0.169027194,-0.257004887,0.24347645,-0.254828036,22.08955574,0.010453184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,142.7597046,7,92.35943604,11,172.9150391
10216033,2021007012,IB,1905571.08,0.350242794,0.35234794,0.419276774,-0.254315257,-0.006457551,1.566293001,0.011309151,0.191758141,-0.270756483,11.2132988,0.005036148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12.12464905,7,27.53259277,6,52.06841278
10236655,2019001012,IB,23914384.7,8.087544441,8.757481575,7.587413788,12.34705639,-0.006457551,-0.169027194,-0.226622179,-2.293560982,3.509977818,-0.088516451,2.94905591,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,105.2171021,0,62.76293945,5,91.52789307
10236655,2021007012,IB,54777326.74,20.4235363,20.5439949,21.42258644,19.51688194,-0.006457551,48.51630783,4.393585205,-9.833292961,4.536327839,-0.088516451,0.01045322,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3244.451416,2,1872.105957,7,1580.973389
10236655,2021011012,IB,63226792.36,23.63164139,23.77083397,24.7730999,18.97984505,-0.006457551,12.56781483,5.107514858,2.369141817,1.068716884,-0.088516451,0.010452624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1388.393066,2,930.6350098,7,710.4885254
1025449,2020003012,IB,1075264.22,0.033851463,0.03525497,-0.042740233,-0.260959327,-0.006457551,0.309163123,0.862446725,0.13861981,-0.270756483,-0.088516451,0.010453563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.372729778,8,2.357998371,15,1.308695793
1025449,2021009012,IB,3234505.89,0.853675842,0.859866202,0.470989376,-0.194094524,-0.006457551,-0.169027194,0.642720342,0.30150187,-0.083716638,-0.088516451,0.010453166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2.643708229,8,2.68248415,19,2.307477951
10275273,2020008012,IB,3648511.74,1.010863185,1.017974496,1.075857759,1.828013062,-0.006457551,-0.169027194,-0.257004887,0.352099448,-0.270756483,8.56657505,0.010467702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8.651260376,7,46.36564636,6,24.46012115
10299470,2020006012,IB,9662702.27,3.29434371,3.314785004,3.341455936,4.637375832,-0.006457551,2.614973307,2.755740166,-0.831768692,0.352017909,-0.088516451,0.010453184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.23129272,3,10.00655365,10,9.335205078
